date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct,tp2,tp3,tp1_hit,tp1_day,tp2_hit,tp2_day,tp3_hit,tp3_day,stop_hit,stop_day,tp1_before_stop,tp2_before_stop,tp3_before_stop,max_high_pct,min_low_pct,max_close_pct
20260227,309710,아이티켐,기초 의약물질 제조업,🏆 최강,65.71,37200.0,42900.0,35300.0,LOSS,35300.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33,43850.0,0.0,False,0,False,0,False,0,True,1,False,False,False,8.06,-30.24,-2.69
20260302,309710,아이티켐,기초 의약물질 제조업,🏆 최강,65.71,37200.0,42900.0,35300.0,LOSS,35300.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33,43850.0,0.0,False,0,False,0,False,0,True,1,False,False,False,8.06,-30.24,-2.69
20260313,003310,대주산업,동물용 사료 및 조제식품 제조업,🏆 최강,57.78,4140.0,4945.0,3515.0,LOSS,3515.0,8,ohlc_low_touch,2026-03-16,-15.1,-15.32,6090.0,7340.0,False,0,False,0,False,0,True,8,False,False,False,0.24,-18.48,-3.99
20260317,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,76.35,56300.0,70500.0,47850.0,WIN,70500.0,3,ohlc_high_touch,2026-03-18,25.22,25.0,72900.0,85200.0,True,3,True,3,False,0,False,0,True,True,False,32.82,-6.62,29.23
20260318,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,67.63,55700.0,70500.0,47300.0,WIN,70500.0,2,ohlc_high_touch,2026-03-19,26.57,26.35,72300.0,84700.0,True,2,True,2,False,0,False,0,True,True,False,34.25,-2.96,30.63
20260319,448900,한국피아이엠,자동차 신품 부품 제조업,🏆 최강,63.75,112500.0,178400.0,95600.0,LOSS,95600.0,2,ohlc_low_touch,2026-03-23,-15.02,-15.24,190800.0,215500.0,False,0,False,0,False,0,True,2,False,False,False,16.89,-15.02,10.67
20260320,226950,올릭스,자연과학 및 공학 연구개발업,🏆 최강,60.44,186900.0,217000.0,169500.0,LOSS,169500.0,1,ohlc_low_touch,2026-03-23,-9.31,-9.53,230000.0,262500.0,False,0,False,0,False,0,True,1,False,False,False,11.29,-12.84,7.28
20260323,278470,에이피알,기타 화학제품 제조업,🏆 최강,76.8,324500.0,377000.0,290500.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,412000.0,422500.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260324,298020,효성티앤씨,화학섬유 제조업,🏆 최강,44.14,392000.0,440000.0,333000.0,OPEN,409000.0,10,ohlc_horizon_close,2026-03-26,4.34,4.12,511000.0,583000.0,False,0,False,0,False,0,False,0,False,False,False,6.51,-7.4,4.34
20260326,098070,한텍,일반 목적용 기계 제조업,🏆 최강,66.71,45900.0,62200.0,39000.0,OPEN,45250.0,10,ohlc_horizon_close,2026-03-27,-1.42,-1.64,71500.0,83200.0,False,0,False,0,False,0,False,0,False,False,False,13.51,-8.93,7.52
20260327,356860,티엘비,전자부품 제조업,🏆 최강,67.57,73100.0,82600.0,62100.0,LOSS,62100.0,1,ohlc_low_touch,2026-03-30,-15.05,-15.27,92900.0,105100.0,False,0,False,0,False,0,True,1,False,False,False,8.95,-20.88,3.76
20260330,078350,한양디지텍,반도체 제조업,🏆 최강,69.98,29650.0,35500.0,25200.0,OPEN,28450.0,10,ohlc_horizon_close,2026-03-31,-4.05,-4.27,39200.0,45400.0,False,0,False,0,False,0,False,0,False,False,False,9.44,-12.98,3.54
20260331,078350,한양디지텍,반도체 제조업,🏆 최강,69.03,27950.0,35500.0,23750.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,37800.0,39850.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260401,001780,알루코,1차 비철금속 제조업,🏆 최강,77.49,2415.0,2740.0,2105.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,2960.0,3255.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260402,001780,알루코,1차 비철금속 제조업,🏆 최강,72.72,2385.0,2740.0,2075.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,2945.0,3255.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260403,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,8,ohlc_high_touch,2026-04-06,23.92,23.7,6980.0,0.0,True,8,True,9,False,0,False,0,True,True,False,60.82,-7.84,37.73
20260406,289930,웨이비스,반도체 제조업,🏆 최강,48.8,19600.0,21300.0,16660.0,OPEN,19020.0,10,ohlc_horizon_close,2026-04-07,-2.96,-3.18,25750.0,28500.0,False,0,False,0,False,0,False,0,False,False,False,5.36,-12.86,1.99
