date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct
20260402,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,9,ohlc_high_touch,2026-04-03,23.92,23.7
20260402,353200,대덕전자,전자부품 제조업,🏆 최강,62.58,80300.0,91300.0,73000.0,WIN,91300.0,4,ohlc_high_touch,2026-04-06,13.7,13.48
20260403,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,8,ohlc_high_touch,2026-04-06,23.92,23.7
20260403,012630,HDC,기타 금융업,🏆 최강,57.38,26650.0,30650.0,25050.0,OPEN,27100.0,3,ohlc_horizon_close,2026-04-06,1.69,1.47
20260403,001780,알루코,1차 비철금속 제조업,🏆 최강,47.98,2440.0,2740.0,2130.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260406,289930,웨이비스,반도체 제조업,🏆 최강,48.8,19600.0,21300.0,16660.0,OPEN,19020.0,10,ohlc_horizon_close,2026-04-07,-2.96,-3.18
20260408,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,5,ohlc_high_touch,2026-04-09,23.92,23.7
20260408,010060,OCI홀딩스,기타 금융업,🏆 최강,64.4,197200.0,235000.0,167600.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260409,373220,LG에너지솔루션,일차전지 및 이차전지 제조업,🏆 최강,61.07,414500.0,491000.0,376500.0,WIN,491500.0,9,ohlc_gap_up,2026-04-10,18.58,18.36
20260410,175330,JB금융지주,기타 금융업,🏆 최강,72.85,30950.0,38500.0,27750.0,OPEN,28700.0,10,ohlc_horizon_close,2026-04-13,-7.27,-7.49
20260410,282330,BGF리테일,종합 소매업,🏆 최강,57.65,131100.0,147800.0,123900.0,OPEN,134500.0,10,ohlc_horizon_close,2026-04-13,2.59,2.37
20260410,356860,티엘비,전자부품 제조업,🏆 최강,43.39,74500.0,84000.0,63300.0,WIN,84000.0,4,ohlc_high_touch,2026-04-13,12.75,12.53
20260413,175330,JB금융지주,기타 금융업,🏆 최강,60.06,31150.0,38500.0,27750.0,LOSS,27750.0,10,ohlc_low_touch,2026-04-14,-10.91,-11.13
20260413,009410,태영건설,토목 건설업,🏆 최강,57.16,1949.0,2225.0,1674.0,WIN,2225.0,2,ohlc_high_touch,2026-04-14,14.16,13.94
20260413,356860,티엘비,전자부품 제조업,🏆 최강,40.73,74500.0,84000.0,63300.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
